chapter_name,pdf,audios,videos,pdf_progress,audio_progress,video_progress,book_id,order_number,start_page,end_page
السيرة النبوية للمصلحين 26,chapters/السيرة النبوية للمصلحين 26.pdf,audios/السيرة النبوية للمصلحين 26.mp3,https://youtu.be/pQBZ-k980K8?si=E7wng6s0mG-T_SsU,29,65,65,7,26,515,543
السيرة النبوية للمصلحين 27,chapters/السيرة النبوية للمصلحين 27.pdf,audios/السيرة النبوية للمصلحين 27.mp3,https://youtu.be/C14Cz9FBZgY?si=sslQW9j4mgmwy0sr,13,34,34,7,27,544,556
السيرة النبوية للمصلحين 28,chapters/السيرة النبوية للمصلحين 28.pdf,audios/السيرة النبوية للمصلحين 28.mp3,https://youtu.be/xYvg6Kj6Jzw?si=rkXvRyyyezwzNvDS,14,33,33,7,28,557,570
السيرة النبوية للمصلحين 29,chapters/السيرة النبوية للمصلحين 29.pdf,audios/السيرة النبوية للمصلحين 29.mp3,https://youtu.be/ZUkaKp5FoiQ?si=0prkpDoXfzINUOgb,12,28,28,7,29,571,582
السيرة النبوية للمصلحين 30,chapters/السيرة النبوية للمصلحين 30.pdf,audios/السيرة النبوية للمصلحين 30.mp3,https://youtu.be/RZZ5e8UDnmk?si=oveGIzEsCQJCerEy,25,50,50,7,30,583,607
السيرة النبوية للمصلحين 31,chapters/السيرة النبوية للمصلحين 31.pdf,audios/السيرة النبوية للمصلحين 31.mp3,https://youtu.be/IxfEd1Fa9Xw?si=Ec3AoAyW872E5_7e,25,58,58,7,31,608,632
السيرة النبوية للمصلحين 32,chapters/السيرة النبوية للمصلحين 32.pdf,audios/السيرة النبوية للمصلحين 32.mp3,https://youtu.be/ZQsUMb8dbuU?si=nWgKUlDe4hoEc5Bi,40,111,111,7,32,633,672
شرح متن المعين 1,chapters/شرح متن المعين 1.pdf,audios/شرح متن المعين 1.mp3,https://youtu.be/wUdzWjM3a_E?si=kR_nPlerHhzcg95c,13,43,43,8,1,1,13
شرح متن المعين 2,chapters/شرح متن المعين 2.pdf,audios/شرح متن المعين 2.mp3,https://youtu.be/MUqPF01qpyM?si=4gAb0MbvW03k5oUp,7,30,30,8,2,14,20
شرح متن المعين 3,chapters/شرح متن المعين 3.pdf,audios/شرح متن المعين 3.mp3,https://youtu.be/KlWDIGS48cw?si=vEhsSXNuHaMluCxx,9,44,44,8,3,21,29
 شرح متن المعين 4,chapters/شرح متن المعين 4.pdf,audios/شرح متن المعين 4.mp3,https://youtu.be/mnJCMNQSP7Q?si=Wk7f8asGHR70jZra,9,42,42,8,4,30,38
شرح متن المعين 5,chapters/شرح متن المعين 5.pdf,audios/شرح متن المعين 5.mp3,https://youtu.be/So0wdzKe0-4?si=j6ZzsrFDWlMLIpxQ,7,21,21,8,5,39,45
شرح متن المعين 6,chapters/شرح متن المعين 6.pdf,audios/شرح متن المعين 6.mp3,https://youtu.be/446ZWs_l9i0?si=MKISpT1tmiD9BstC,7,26,26,8,6,46,52
شرح متن المعين 7,chapters/شرح متن المعين 7.pdf,audios/شرح متن المعين 7.mp3,https://youtu.be/9lg5Jgwhbvc?si=zmiOUbxNnJUI2uRO,7,23,23,8,7,53,59
